Code,Name (en-CA),Name (fr-CA)
ONGOING,Training on-going,Formation en permanence
ONTHEJOB,Training on the job,Formation en cours d'emploi
ORIENTATION,Orientation,Orientation
PROVIDED,Training is provided,Formation fournie
REQUIRED,Training is required,Formation requise
SCHEDULED,Scheduled training,Formation prévue
