Code,Name (en-CA),Name (fr-CA)
SOLITARY,Solitary,Solitaire
ONEONONE,One-on-one,Individuel
SMALLGROUP,Small Group,Petit groupe
LARGEGROUP,Large Group,Grand groupe
VIRTUAL,Virtual Volunteering,Bénévolat virtuel
