Code,Name (en-CA),Name (fr-CA)
CARNEEDED,Car Required,Voiture requise
CHAUFFERLICENSE,Chauffeur License required,Permis de conduire pour les chauffeurs requis
LICENSEREQUIRED,Driver License Required,Permis de conduire requis
NEARTRANSIT,Near public transit,Près des transports en commun
TRANSPORTATIONGIVEN,Transportation Provided,Moyen de transport fourni
